price,metro_station,minutes_to_metro,rooms,area,floor,total_floors,renovation,floor_ratio,is_first_floor,is_last_floor,is_studio,log_area,log_price
250000000.0,Спортивная,8.0,3.0,137.0,9.0,15,Designer,0.6,0,0,0,4.927253685157205,19.33697147982652
49899998.0,Пушкинская,7.0,3.0,75.0,1.0,7,Designer,0.14285714285714285,1,0,0,4.330733340286331,17.72553154068167
55600000.0,Комсомольская,10.0,3.0,79.9,2.0,2,Designer,1.0,0,1,0,4.393213824064446,17.833693777206424
99000000.0,Серпуховская,9.0,3.0,120.0,2.0,14,Designer,0.14285714285714285,0,0,0,4.795790545596741,18.410630418199872
131000000.0,Беговая,5.0,3.0,114.0,7.0,21,European-style renovation,0.3333333333333333,0,0,0,4.74493212836325,18.690707888799015
238840000.0,Трубная,5.0,3.0,140.0,2.0,4,Designer,0.5,0,0,0,4.948759890378168,19.291304433829968
48000000.0,Народное Ополчение,9.0,3.0,82.5,31.0,53,Designer,0.5849056603773585,0,0,0,4.42484663185681,17.6867115897055
40500000.0,Народное Ополчение,10.0,3.0,106.1,48.0,58,Without renovation,0.8275862068965517,0,0,0,4.673762977453703,17.516812556768127
43500000.0,Народное Ополчение,10.0,3.0,105.6,11.0,53,Without renovation,0.20754716981132076,0,0,0,4.669083511731744,17.588271519047417
120000000.0,Киевская,15.0,3.0,100.0,6.0,7,European-style renovation,0.8571428571428571,0,0,0,4.61512051684126,18.603002309079653
144170000.0,Фрунзенская,5.0,3.0,111.0,6.0,8,Cosmetic,0.75,0,0,0,4.718498871295094,18.78650372372434
148070000.0,Спортивная,7.0,3.0,113.9,6.0,12,Without renovation,0.5,0,0,0,4.74406218485471,18.813195699638463
175000000.0,Пушкинская,6.0,3.0,188.5,3.0,4,Designer,0.75,0,0,0,5.244389024522481,18.980296537602072
27300000.0,Технопарк,14.0,3.0,90.0,3.0,9,Without renovation,0.3333333333333333,0,0,0,4.51085950651685,17.122397296785223
33800000.0,Преображенская площадь,7.0,3.0,90.8,2.0,30,Cosmetic,0.06666666666666667,0,0,0,4.519612297626445,17.335971390039045
45000000.0,Павелецкая,17.0,3.0,81.6,13.0,28,Without renovation,0.4642857142857143,0,0,0,4.414009680526933,17.622173069956816
59850000.0,Строгино,8.0,3.0,126.0,3.0,29,European-style renovation,0.10344827586206896,0,0,0,4.844187086458591,17.907352006676692
41000000.0,Красные ворота,10.0,3.0,94.1,4.0,5,Designer,0.8,0,0,0,4.554928969551344,17.529082649058825
43000000.0,Народное Ополчение,10.0,3.0,118.6,9.0,48,Without renovation,0.1875,0,0,0,4.784152841516532,17.57671069691365
53000000.0,Тверская,7.0,3.0,93.8,4.0,14,European-style renovation,0.2857142857142857,0,0,0,4.551769409260976,17.78580249038432
55000000.0,Петровский парк,16.0,3.0,91.0,13.0,41,Without renovation,0.3170731707317073,0,0,0,4.5217885770490405,17.822843761378564
64000000.0,Смоленская,6.0,3.0,103.0,2.0,11,European-style renovation,0.18181818181818182,0,0,0,4.6443908991413725,17.974393656948944
72000000.0,Аэропорт,12.0,3.0,91.0,8.0,41,Designer,0.1951219512195122,0,0,0,4.5217885770490405,18.09217669086922
75000000.0,Площадь Ильича,7.0,3.0,105.0,3.0,13,Designer,0.23076923076923078,0,0,0,4.663439094112067,18.132998684833918
99000000.0,Краснопресненская,10.0,3.0,130.0,4.0,13,Designer,0.3076923076923077,0,0,0,4.875197323201151,18.410630418199872
124000000.0,Курская,15.0,3.0,135.0,2.0,11,European-style renovation,0.18181818181818182,0,0,0,4.912654885736052,18.635792131633828
48990000.0,Шелепиха,5.0,3.0,85.5,36.0,51,Designer,0.7058823529411765,0,0,0,4.460144413937834,17.707126774027085
75000000.0,Белорусская,12.0,3.0,126.3,3.0,18,Designer,0.16666666666666666,0,0,0,4.846546505563361,18.132998684833918
145000000.0,Фрунзенская,11.0,3.0,95.0,7.0,14,Without renovation,0.5,0,0,0,4.564348191467836,18.7922443072814
205875000.0,Третьяковская,7.0,3.0,152.5,3.0,6,Designer,0.5,0,0,0,5.033700567027251,19.142779751319395
56000000.0,Охотный ряд,11.0,3.0,127.4,6.0,6,Designer,1.0,0,1,0,4.855150391255861,17.840862266556567
65000000.0,Беговая,25.0,3.0,75.3,17.0,21,Without renovation,0.8095238095238095,0,0,0,4.334672938290411,17.989897843244528
115000000.0,Деловой центр,2.0,3.0,187.0,39.0,75,Designer,0.52,0,0,0,5.236441962829949,18.560442695023177
224900000.0,Полянка,6.0,3.0,163.7,4.0,6,Designer,0.6666666666666666,0,0,0,5.104125637183595,19.231166421375963
23800000.0,Волгоградский проспект,5.0,3.0,80.0,22.0,30,European-style renovation,0.7333333333333333,0,0,0,4.394449154672439,16.98519618065851
36000000.0,Алексеевская,7.0,3.0,92.9,5.0,17,Without renovation,0.29411764705882354,0,0,0,4.542230386214217,17.399029524198163
113500000.0,Деловой центр,4.0,3.0,190.0,39.0,73,Designer,0.5342465753424658,0,0,0,5.25227342804663,18.547313403696304
142440000.0,Выставочная,15.0,3.0,118.7,30.0,66,Without renovation,0.45454545454545453,0,0,0,4.784988612563928,18.77443142339435
34000000.0,Шелепиха,5.0,3.0,72.2,4.0,30,Cosmetic,0.13333333333333333,0,0,0,4.293195420967266,17.341871111992198
35490000.0,Улица 1905 года,3.0,3.0,98.5,3.0,4,European-style renovation,0.75,0,0,0,4.600157644164547,17.38476155279963
52000000.0,Раменки,10.0,3.0,133.0,15.0,52,Without renovation,0.28846153846153844,0,0,0,4.897839799950911,17.76675429577647
56500000.0,Динамо,9.0,3.0,99.0,10.0,25,Designer,0.4,0,0,0,4.605170185988092,17.849751213815786
59000000.0,Раменки,12.0,3.0,76.0,15.0,51,Designer,0.29411764705882354,0,0,0,4.343805421853684,17.893048018819147
182000000.0,Парк культуры,10.0,3.0,184.6,2.0,8,Without renovation,0.25,0,0,0,5.2235938203521,19.019517250535575
46900000.0,Молодежная,7.0,3.0,75.0,17.0,28,Designer,0.6071428571428571,0,0,0,4.330733340286331,17.66352825473847
48500000.0,Ростокино,13.0,3.0,143.3,39.0,58,Designer,0.6724137931034483,0,0,0,4.971894465779825,17.697074376526267
51000000.0,Шелепиха,18.0,3.0,98.2,18.0,19,Without renovation,0.9473684210526315,0,0,0,4.597138014290827,17.747336210296442
60000000.0,Тестовская,3.0,3.0,90.0,32.0,78,Designer,0.41025641025641024,0,0,0,4.51085950651685,17.909855136853043
97000000.0,Деловой центр,2.0,3.0,192.0,41.0,75,Designer,0.5466666666666666,0,0,0,5.262690188904886,18.390221546776935
224900000.0,Спортивная,9.0,3.0,237.2,14.0,14,Without renovation,1.0,0,1,0,5.473110656921199,19.231166421375963
11990000.0,Сходненская,16.0,3.0,54.0,3.0,4,Without renovation,0.75,0,0,0,4.007333185232471,16.29958361040653
