Price,Metro station,Minutes to metro,Number of rooms,Area,Floor,Number of floors,Renovation
51000000.0,Шелепиха,18.0,3.0,98.2,18.0,19,Without renovation
60000000.0,Тестовская,3.0,3.0,90.0,32.0,78,Designer
97000000.0,Деловой центр,2.0,3.0,192.0,41.0,75,Designer
224900000.0,Спортивная,9.0,3.0,237.2,14.0,14,Without renovation
11990000.0,Сходненская,16.0,3.0,54.0,3.0,4,Without renovation
12900000.0,Прокшино,13.0,3.0,62.0,4.0,17,Without renovation
15500000.0,Окружная,8.0,3.0,72.0,6.0,8,Cosmetic
24800000.0,Спортивная,4.0,3.0,62.0,1.0,6,European-style renovation
27500000.0,Спортивная,5.0,3.0,62.7,2.0,5,Designer
31800000.0,Рабочий Посёлок,22.0,3.0,93.5,11.0,29,Without renovation
64000000.0,Тестовская,4.0,3.0,98.0,33.0,78,Designer
74800000.0,Славянский бульвар,23.0,3.0,104.0,14.0,26,Without renovation
105000000.0,Деловой центр,2.0,3.0,192.0,37.0,75,Designer
44988700.0,Минская,5.0,3.0,71.2,2.0,14,European-style renovation
64500000.0,Шелепиха,19.0,3.0,84.0,12.0,19,Designer
128000000.0,Улица 1905 года,7.0,3.0,127.6,6.0,21,Designer
153000000.0,Арбатская,6.0,3.0,94.0,2.0,7,Designer
26700000.0,Селигерская,11.0,3.0,57.4,1.0,39,Designer
39500000.0,Серпуховская,17.0,3.0,81.25,6.0,18,Cosmetic
41500000.0,Динамо,10.0,3.0,77.2,5.0,12,Designer
42990000.0,Динамо,6.0,3.0,70.0,15.0,15,Designer
45000000.0,Фили,15.0,3.0,91.5,6.0,21,Designer
57000000.0,Шелепиха,19.0,3.0,99.0,2.0,19,Designer
64900000.0,Деловой центр,11.0,3.0,90.0,7.0,21,Without renovation
78000000.0,Деловой центр,7.0,3.0,100.0,39.0,53,Designer
190000000.0,Ломоносовский проспект,22.0,3.0,105.5,4.0,8,Designer
250000000.0,Новокузнецкая,11.0,3.0,142.8,6.0,8,Designer
12000000.0,Саларьево,8.0,3.0,63.0,1.0,9,European-style renovation
14450000.0,Бибирево,14.0,3.0,60.6,2.0,9,Cosmetic
14500000.0,Печатники,4.0,3.0,60.0,9.0,9,Designer
24287000.0,Новогиреево,4.0,3.0,84.0,11.0,22,European-style renovation
26500000.0,Бульвар Рокоссовского,6.0,3.0,80.0,19.0,24,European-style renovation
33500000.0,Улица 1905 года,17.0,3.0,77.2,11.0,22,Designer
36900000.0,Филёвский парк,7.0,3.0,82.0,3.0,5,Designer
41990000.0,Парк культуры,5.0,3.0,78.2,2.0,7,European-style renovation
45000000.0,Серпуховская,11.0,3.0,107.3,22.0,29,Without renovation
45000000.0,Шелепиха,12.0,3.0,85.8,28.0,42,Without renovation
47900000.0,Смоленская,7.0,3.0,91.0,7.0,8,Designer
49990000.0,Шелепиха,12.0,3.0,89.0,30.0,37,Without renovation
50990000.0,Шелепиха,12.0,3.0,88.6,34.0,42,Designer
76000000.0,Проспект Мира,5.0,3.0,121.0,6.0,12,European-style renovation
82000000.0,Аэропорт,10.0,3.0,163.5,9.0,57,Designer
147213000.0,Улица 1905 года,15.0,3.0,148.7,4.0,20,Designer
190000000.0,Ломоносовский проспект,4.0,3.0,105.4,4.0,8,Designer
12800000.0,Рязанский проспект,5.0,3.0,60.0,9.0,9,European-style renovation
17650000.0,Рязанский проспект,5.0,3.0,60.0,4.0,17,Designer
24000050.0,Профсоюзная,15.0,3.0,55.0,7.0,8,European-style renovation
30800000.0,Раменки,10.0,3.0,68.5,7.0,52,Without renovation
32300000.0,Кунцевская,4.0,3.0,85.0,29.0,29,Without renovation
34000000.0,Фили,18.0,3.0,57.0,20.0,29,Designer
39200000.0,Ботанический сад,11.0,3.0,117.9,20.0,20,Without renovation
39700000.0,Панфиловская,7.0,3.0,88.0,8.0,18,Designer
41000000.0,Динамо,1.0,3.0,90.0,8.0,13,European-style renovation
44000000.0,Беломорская,22.0,3.0,103.8,2.0,21,Designer
45000000.0,Выставочная,26.0,3.0,79.0,15.0,20,Designer
46000000.0,Аэропорт,14.0,3.0,123.8,1.0,16,European-style renovation
49900000.0,Петровский парк,15.0,3.0,66.3,13.0,37,Designer
55000000.0,Улица 1905 года,4.0,3.0,110.0,6.0,8,Designer
58000000.0,Минская,7.0,3.0,90.0,14.0,25,Without renovation
