area,rooms,floor,total_floors,minutes_to_metro,floor_ratio,is_first_floor,is_last_floor,is_studio,log_area,metro_station,renovation
225.0,4.0,5.0,20,16.0,0.25,0,0,0,5.420534999272286,Белорусская,Without renovation
16.0,0.0,3.0,5,15.0,0.6,0,0,1,2.833213344056216,Окская,European-style renovation
39.0,1.0,2.0,9,15.0,0.2222222222222222,0,0,0,3.688879454113936,Минская,European-style renovation
220.0,5.0,2.0,6,6.0,0.3333333333333333,0,0,0,5.3981627015177525,Кропоткинская,European-style renovation
200.0,4.0,28.0,30,4.0,0.9333333333333332,0,0,0,5.303304908059076,Новаторская,European-style renovation
82.0,2.0,6.0,31,20.0,0.1935483870967742,0,0,0,4.418840607796598,Славянский бульвар,Designer
22.6,6.0,4.0,11,14.0,0.3636363636363636,0,0,0,3.1612467120315646,Электрозаводская,Cosmetic
21.1,0.0,1.0,4,12.0,0.25,1,0,1,3.095577608523707,Преображенская площадь,Designer
18.8,0.0,7.0,9,13.0,0.7777777777777778,0,0,1,2.9856819377004897,Зеленоград — Крюково,European-style renovation
49.3,1.0,2.0,11,9.0,0.1818181818181818,0,0,0,3.918005077105693,Полянка,Designer
39.1,1.0,7.0,13,29.0,0.5384615384615384,0,0,0,3.691376334312523,Ольховая,Without renovation
33.5,1.0,20.0,24,15.0,0.8333333333333334,0,0,0,3.5409593240373143,Коммунарка,Cosmetic
107.7,3.0,3.0,5,4.0,0.6,0,0,0,4.688591794127164,Новослободская,Designer
14.8,0.0,1.0,9,10.0,0.1111111111111111,1,0,1,2.760009940032921,Юго-Восточная,Cosmetic
43.0,1.0,6.0,14,14.0,0.4285714285714285,0,0,0,3.784189633918261,Новокосино,European-style renovation
61.4,2.0,24.0,24,24.0,1.0,0,1,0,4.133565275375382,Лухмановская,Cosmetic
46.0,1.0,9.0,29,21.0,0.3103448275862069,0,0,0,3.8501476017100575,Автозаводская,Without renovation
