area,rooms,floor,total_floors,minutes_to_metro,floor_ratio,is_first_floor,is_last_floor,is_studio,log_area,metro_station,renovation
119.5,4.0,14.0,25,12.0,0.56,0,0,0,4.791649752930709,Рассказовка,Designer
70.9,3.0,2.0,13,15.0,0.1538461538461538,0,0,0,4.275276264727001,Фонвизинская,European-style renovation
35.0,1.0,5.0,25,13.0,0.2,0,0,0,3.58351893845611,Новокосино,Cosmetic
112.3,3.0,16.0,25,5.0,0.64,0,0,0,4.730039168033961,Давыдково,Designer
200.0,5.0,4.0,16,7.0,0.25,0,0,0,5.303304908059076,Полянка,European-style renovation
40.9,1.0,5.0,12,4.0,0.4166666666666667,0,0,0,3.735285826928092,Кленовый бульвар,Without renovation
16.0,0.0,1.0,9,10.0,0.1111111111111111,1,0,1,2.833213344056216,Орехово,Cosmetic
56.7,0.0,6.0,7,17.0,0.8571428571428571,0,0,1,4.055257173514054,Электрозаводская,Without renovation
25.0,0.0,3.0,5,16.0,0.6,0,0,1,3.258096538021482,Академическая,European-style renovation
37.5,0.0,9.0,16,20.0,0.5625,0,0,1,3.6506582412937383,Давыдково,European-style renovation
